endpoint,route,methods,module,action,scope_param,scope_type,csrf,status
queue_realtime_stream,/call-center/stats/realtime-stream,GET,queue_live,view,-,-,N/A (GET),Secured (Role/Scope)
supervisor_control,/call-center/supervisor/control,POST,queue_live,edit,-,-,Missing/No,Secured (Role/Scope)
call_records,/call-records,GET,call_records,view,-,-,N/A (GET),Secured (Role/Scope)
call_routes,/call-routes,GET,outbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
outbound_route_dods_list,/call-routes/<name>/dods,GET,outbound_routes,view,name,outbound_routes,N/A (GET),Secured (Role/Scope)
outbound_route_dod_add,/call-routes/<name>/dods/add,"GET, POST",outbound_routes,edit,name,outbound_routes,Missing/No,Secured (Role/Scope)
outbound_route_dod_delete,/call-routes/<name>/dods/delete/<int:dod_id>,POST,outbound_routes,edit,name,outbound_routes,Missing/No,Secured (Role/Scope)
outbound_route_dod_edit,/call-routes/<name>/dods/edit/<int:dod_id>,"GET, POST",outbound_routes,edit,name,outbound_routes,Missing/No,Secured (Role/Scope)
outbound_route_add,/call-routes/add,"GET, POST",outbound_routes,add,-,-,Missing/No,Secured (Role/Scope)
outbound_route_delete,/call-routes/delete/<name>,POST,outbound_routes,delete,name,outbound_routes,Missing/No,Secured (Role/Scope)
outbound_route_edit,/call-routes/edit/<name>,"GET, POST",outbound_routes,edit,name,outbound_routes,Missing/No,Secured (Role/Scope)
outbound_routes_export,/call-routes/export,GET,outbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
outbound_routes_import,/call-routes/import,POST,outbound_routes,add,-,-,Missing/No,Secured (Role/Scope)
outbound_route_priority,/call-routes/priority/<name>/<direction>,POST,outbound_routes,edit,name,outbound_routes,Missing/No,Secured (Role/Scope)
cdr_page,/cdr,GET,cdr,view,-,-,N/A (GET),Secured (Role/Scope)
cdr_page,/cdr.php,GET,cdr,view,-,-,N/A (GET),Secured (Role/Scope)
configuration,/configuration,"GET, POST",system,edit,-,-,Missing/No,Secured (Role/Scope)
dashboard,/dashboard,GET,dashboard,view,-,-,N/A (GET),Secured (Role/Scope)
extensions,/extensions,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
extensions_add,/extensions/add,"GET, POST",extensions,add,-,-,Missing/No,Secured (Role/Scope)
extensions_bulk_add,/extensions/bulk-add,"GET, POST",extensions,bulk_add,-,-,Missing/No,Secured (Role/Scope)
extensions_bulk_delete,/extensions/bulk-delete,POST,extensions,bulk_delete,-,-,Missing/No,Secured (Role/Scope)
extensions_bulk_edit,/extensions/bulk-edit,POST,extensions,bulk_edit,-,-,Missing/No,Secured (Role/Scope)
extensions_bulk_export_csv,/extensions/bulk-export-csv,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
extensions_bulk_success,/extensions/bulk-success,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
extensions_delete,/extensions/delete/<ext>,POST,extensions,delete,ext,extensions,Missing/No,Secured (Role/Scope)
extensions_edit,/extensions/edit/<ext>,"GET, POST",extensions,edit,ext,extensions,Missing/No,Secured (Role/Scope)
extensions_export_all_csv,/extensions/export-csv,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
extensions_import,/extensions/import,"GET, POST",extensions,import_export,-,-,Missing/No,Secured (Role/Scope)
extensions_import_template,/extensions/import-template,GET,extensions,view,-,-,N/A (GET),Secured (Role/Scope)
extensions_info,/extensions/info/<ext>,GET,extensions,view,ext,extensions,N/A (GET),Secured (Role/Scope)
feature_codes,/feature-codes,GET,feature_codes,view,-,-,N/A (GET),Secured (Role/Scope)
feature_codes_update,/feature-codes/update,POST,feature_codes,edit,-,-,Missing/No,Secured (Role/Scope)
forgot_password,/forgot-password,"GET, POST",,,-,-,Missing/No,Public / Auth
forgot_password_reset,/forgot-password/reset,"GET, POST",,,-,-,Missing/No,Public / Auth
forgot_password_verify,/forgot-password/verify,"GET, POST",,,-,-,Missing/No,Public / Auth
inbound_routes_list,/inbound-routes,GET,inbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
inbound_route_add,/inbound-routes/add,"GET, POST",inbound_routes,add,-,-,Missing/No,Secured (Role/Scope)
inbound_route_delete,/inbound-routes/delete/<route_id>,POST,inbound_routes,delete,route_id,inbound_routes,Missing/No,Secured (Role/Scope)
inbound_route_edit,/inbound-routes/edit/<route_id>,"GET, POST",inbound_routes,edit,route_id,inbound_routes,Missing/No,Secured (Role/Scope)
inbound_routes_export,/inbound-routes/export,GET,inbound_routes,view,-,-,N/A (GET),Secured (Role/Scope)
inbound_routes_import,/inbound-routes/import,POST,inbound_routes,add,-,-,Missing/No,Secured (Role/Scope)
ivr_list,/ivr,GET,ivr,view,-,-,N/A (GET),Secured (Role/Scope)
ivr_add,/ivr/add,"GET, POST",ivr,add,-,-,Missing/No,Secured (Role/Scope)
ivr_delete,/ivr/delete/<num>,POST,ivr,delete,num,ivr,Missing/No,Secured (Role/Scope)
ivr_edit,/ivr/edit/<num>,"GET, POST",ivr,edit,num,ivr,Missing/No,Secured (Role/Scope)
ivr_export,/ivr/export,GET,ivr,view,-,-,N/A (GET),Secured (Role/Scope)
ivr_import,/ivr/import,POST,ivr,add,-,-,Missing/No,Secured (Role/Scope)
global_logo_png,/logo.png,GET,,,-,-,N/A (GET),Public / Auth
logout,/logout,GET,,,-,-,N/A (GET),Public / Auth
media_center,/media-center,GET,voice_prompts,view,-,-,N/A (GET),Secured (Role/Scope)
media_moh_class_create,/media/moh/class/create,POST,music_on_hold,add,-,-,Missing/No,Secured (Role/Scope)
media_moh_class_delete,/media/moh/class/delete/<name>,POST,music_on_hold,delete,name,music_on_hold,Missing/No,Secured (Role/Scope)
media_moh_class_edit,/media/moh/class/edit/<name>,POST,music_on_hold,edit,name,music_on_hold,Missing/No,Secured (Role/Scope)
media_moh_track_delete,/media/moh/track/delete/<class_name>/<filename>,POST,music_on_hold,edit,class_name,music_on_hold,Missing/No,Secured (Role/Scope)
media_moh_track_download,/media/moh/track/download/<class_name>/<filename>,GET,music_on_hold,view,class_name,music_on_hold,N/A (GET),Secured (Role/Scope)
media_moh_track_rename,/media/moh/track/rename/<class_name>,POST,music_on_hold,edit,class_name,music_on_hold,Missing/No,Secured (Role/Scope)
media_moh_tracks,/media/moh/tracks/<class_name>,GET,music_on_hold,view,class_name,music_on_hold,N/A (GET),Secured (Role/Scope)
media_moh_tracks_upload,/media/moh/tracks/upload/<class_name>,POST,music_on_hold,edit,class_name,music_on_hold,Missing/No,Secured (Role/Scope)
media_prompt_delete,/media/prompt/delete/<id>,POST,voice_prompts,delete,-,-,Missing/No,Secured (Role/Scope)
media_prompt_download,/media/prompt/download/<id>,GET,voice_prompts,view,-,-,N/A (GET),Secured (Role/Scope)
media_prompt_rename,/media/prompt/rename,POST,voice_prompts,edit,-,-,Missing/No,Secured (Role/Scope)
media_prompt_upload,/media/prompt/upload,POST,voice_prompts,add,-,-,Missing/No,Secured (Role/Scope)
media_proxy,/media_proxy,GET,voice_prompts,view,-,-,N/A (GET),Secured (Role/Scope)
paging_list,/paging,GET,paging,view,-,-,N/A (GET),Secured (Role/Scope)
paging_add,/paging/add,"GET, POST",paging,add,-,-,Missing/No,Secured (Role/Scope)
paging_delete,/paging/delete/<id>,POST,paging,delete,id,paging,Missing/No,Secured (Role/Scope)
paging_edit,/paging/edit/<id>,"GET, POST",paging,edit,id,paging,Missing/No,Secured (Role/Scope)
paging_export,/paging/export,GET,paging,view,-,-,N/A (GET),Secured (Role/Scope)
paging_import,/paging/import,POST,paging,add,-,-,Missing/No,Secured (Role/Scope)
pbx_settings,/pbx-settings,"GET, POST",global_settings,view,-,-,Missing/No,Secured (Role/Scope)
pbx_operation_log,/pbx-settings/operation-log,GET,operation_log,view,-,-,N/A (GET),Secured (Role/Scope)
pickup_groups_list,/pickup-groups,GET,pickup_groups,view,-,-,N/A (GET),Secured (Role/Scope)
pickup_groups_add,/pickup-groups/add,"GET, POST",pickup_groups,add,-,-,Missing/No,Secured (Role/Scope)
pickup_groups_delete,/pickup-groups/delete/<num>,POST,pickup_groups,delete,num,pickup_groups,Missing/No,Secured (Role/Scope)
pickup_groups_edit,/pickup-groups/edit/<num>,"GET, POST",pickup_groups,edit,num,pickup_groups,Missing/No,Secured (Role/Scope)
pickup_groups_export,/pickup-groups/export,GET,pickup_groups,view,-,-,N/A (GET),Secured (Role/Scope)
pickup_groups_import,/pickup-groups/import,POST,pickup_groups,add,-,-,Missing/No,Secured (Role/Scope)
privileges_list,/privileges,GET,privileges,view,-,-,N/A (GET),Secured (Role/Scope)
privilege_delete,/privileges/delete/<int:privilege_id>,POST,privileges,delete,-,-,Missing/No,Secured (Role/Scope)
privilege_duplicate,/privileges/duplicate/<int:privilege_id>,POST,privileges,duplicate,-,-,Missing/No,Secured (Role/Scope)
privileges_export_csv,/privileges/export-csv,GET,privileges,view,-,-,N/A (GET),Secured (Role/Scope)
privileges_export_json,/privileges/export-json,GET,privileges,view,-,-,N/A (GET),Secured (Role/Scope)
privilege_save,/privileges/save,POST,privileges,edit,-,-,Missing/No,Secured (Role/Scope)
profile_change_password,/profile/change-password,POST,,,-,-,Missing/No,Secured (Session)
profile_update_email,/profile/update-email,POST,,,-,-,Missing/No,Secured (Session)
queue_list,/queues,GET,queues,view,-,-,N/A (GET),Secured (Role/Scope)
queue_agent_add,/queues/<num>/agents/add,POST,queues,manage_agents,num,queues,Missing/No,Secured (Role/Scope)
queue_agent_disable,/queues/<num>/agents/disable,POST,queue_live,view,num,queue_live,Missing/No,Secured (Role/Scope)
queue_agent_enable,/queues/<num>/agents/enable,POST,queue_live,view,num,queue_live,Missing/No,Secured (Role/Scope)
queue_agent_join,/queues/<num>/agents/join,POST,queue_live,view,num,queue_live,Missing/No,Secured (Role/Scope)
queue_agent_leave,/queues/<num>/agents/leave,POST,queue_live,view,num,queue_live,Missing/No,Secured (Role/Scope)
queue_agent_remove,/queues/<num>/agents/remove,POST,queues,manage_agents,num,queues,Missing/No,Secured (Role/Scope)
queue_add,/queues/add,"GET, POST",queues,add,-,-,Missing/No,Secured (Role/Scope)
queue_delete,/queues/delete/<num>,POST,queues,delete,num,queues,Missing/No,Secured (Role/Scope)
queue_edit,/queues/edit/<num>,"GET, POST",queues,edit,num,queues,Missing/No,Secured (Role/Scope)
queue_export,/queues/export,GET,queues,view,-,-,N/A (GET),Secured (Role/Scope)
queue_import,/queues/import,POST,queues,add,-,-,Missing/No,Secured (Role/Scope)
play_recording,/recordings/play/<filename>,GET,call_records,view,-,-,N/A (GET),Secured (Role/Scope)
reports,/reports,GET,cdr,view,-,-,N/A (GET),Secured (Role/Scope)
ringgroup_list,/ring-groups,GET,ring_groups,view,-,-,N/A (GET),Secured (Role/Scope)
ringgroup_add,/ring-groups/add,"GET, POST",ring_groups,add,-,-,Missing/No,Secured (Role/Scope)
ringgroup_delete,/ring-groups/delete/<id>,POST,ring_groups,delete,id,ring_groups,Missing/No,Secured (Role/Scope)
ringgroup_edit,/ring-groups/edit/<id>,"GET, POST",ring_groups,edit,id,ring_groups,Missing/No,Secured (Role/Scope)
ringgroup_export,/ring-groups/export,GET,ring_groups,view,-,-,N/A (GET),Secured (Role/Scope)
ringgroup_import,/ring-groups/import,POST,ring_groups,add,-,-,Missing/No,Secured (Role/Scope)
security,/security,"GET, POST",users,change_password,-,-,Missing/No,Secured (Role/Scope)
speed_dial_list,/speed-dials,GET,speed_dial,view,-,-,N/A (GET),Secured (Role/Scope)
speed_dial_add,/speed-dials/add,"GET, POST",speed_dial,add,-,-,Missing/No,Secured (Role/Scope)
speed_dial_delete,/speed-dials/delete/<num>,POST,speed_dial,delete,num,speed_dial,Missing/No,Secured (Role/Scope)
speed_dial_edit,/speed-dials/edit/<num>,"GET, POST",speed_dial,edit,num,speed_dial,Missing/No,Secured (Role/Scope)
speed_dial_export,/speed-dials/export,GET,speed_dial,view,-,-,N/A (GET),Secured (Role/Scope)
speed_dial_import,/speed-dials/import,POST,speed_dial,add,-,-,Missing/No,Secured (Role/Scope)
system_info,/system-info,GET,system,view,-,-,N/A (GET),Secured (Role/Scope)
system_asterisk_status,/system/asterisk-status,GET,system,view,-,-,N/A (GET),Secured (Role/Scope)
system_machine_reboot,/system/machine-reboot,POST,system,reboot,-,-,Missing/No,Secured (Role/Scope)
mail_settings,/system/mail-settings,"GET, POST",system,view,-,-,Missing/No,Secured (Role/Scope)
mail_settings_test,/system/mail-settings/test,POST,system,edit,-,-,Missing/No,Secured (Role/Scope)
capture_control,/system/maintenance/capture,POST,network_troubleshooting,edit,-,-,Missing/No,Secured (Role/Scope)
capture_status,/system/maintenance/capture/status,GET,network_troubleshooting,view,-,-,N/A (GET),Secured (Role/Scope)
diagnose_tool,/system/maintenance/diagnose,POST,network_troubleshooting,edit,-,-,Missing/No,Secured (Role/Scope)
download_capture,/system/maintenance/download-capture,GET,network_troubleshooting,view,-,-,N/A (GET),Secured (Role/Scope)
network_troubleshooting,/system/maintenance/troubleshooting,GET,network_troubleshooting,view,-,-,N/A (GET),Secured (Role/Scope)
network_settings,/system/network,"GET, POST",system,view,-,-,Missing/No,Secured (Role/Scope)
system_reboot,/system/reboot,POST,system,reboot,-,-,Missing/No,Secured (Role/Scope)
time_settings,/system/time,"GET, POST",system,view,-,-,Missing/No,Secured (Role/Scope)
time_conditions_list,/system/time-conditions,GET,time_conditions,view,-,-,N/A (GET),Secured (Role/Scope)
holiday_add,/system/time-conditions/holiday/add,"GET, POST",time_conditions,add,-,-,Missing/No,Secured (Role/Scope)
holiday_delete,/system/time-conditions/holiday/delete/<holiday_id>,POST,time_conditions,delete,holiday_id,time_conditions,Missing/No,Secured (Role/Scope)
holiday_edit,/system/time-conditions/holiday/edit/<holiday_id>,"GET, POST",time_conditions,edit,holiday_id,time_conditions,Missing/No,Secured (Role/Scope)
office_time_add,/system/time-conditions/office/add,"GET, POST",time_conditions,add,-,-,Missing/No,Secured (Role/Scope)
office_time_clone,/system/time-conditions/office/clone/<profile_id>,POST,time_conditions,add,-,-,Missing/No,Secured (Role/Scope)
office_time_delete,/system/time-conditions/office/delete/<profile_id>,POST,time_conditions,delete,profile_id,time_conditions,Missing/No,Secured (Role/Scope)
office_time_edit,/system/time-conditions/office/edit/<profile_id>,"GET, POST",time_conditions,edit,profile_id,time_conditions,Missing/No,Secured (Role/Scope)
office_time_toggle,/system/time-conditions/office/toggle/<profile_id>,POST,time_conditions,edit,profile_id,time_conditions,Missing/No,Secured (Role/Scope)
trunks,/trunks,GET,trunks,view,-,-,N/A (GET),Secured (Role/Scope)
trunk_dods_list,/trunks/<name>/dods,GET,trunks,view,name,trunks,N/A (GET),Secured (Role/Scope)
trunk_dod_add,/trunks/<name>/dods/add,"GET, POST",trunks,edit,name,trunks,Missing/No,Secured (Role/Scope)
trunk_dod_delete,/trunks/<name>/dods/delete/<int:dod_id>,POST,trunks,edit,name,trunks,Missing/No,Secured (Role/Scope)
trunk_dod_edit,/trunks/<name>/dods/edit/<int:dod_id>,"GET, POST",trunks,edit,name,trunks,Missing/No,Secured (Role/Scope)
trunks_add,/trunks/add,"GET, POST",trunks,add,-,-,Missing/No,Secured (Role/Scope)
trunks_delete,/trunks/delete/<name>,POST,trunks,delete,name,trunks,Missing/No,Secured (Role/Scope)
trunks_edit,/trunks/edit/<name>,"GET, POST",trunks,edit,name,trunks,Missing/No,Secured (Role/Scope)
trunks_export,/trunks/export,GET,trunks,view,-,-,N/A (GET),Secured (Role/Scope)
trunks_import,/trunks/import,POST,trunks,add,-,-,Missing/No,Secured (Role/Scope)
users_list,/users,GET,users,view,-,-,N/A (GET),Secured (Role/Scope)
user_add,/users/add,POST,users,add,-,-,Missing/No,Secured (Role/Scope)
users_bulk_assign_role,/users/bulk-assign-role,POST,users,assign_privilege,-,-,Missing/No,Secured (Role/Scope)
users_bulk_delete,/users/bulk-delete,POST,users,delete,-,-,Missing/No,Secured (Role/Scope)
users_bulk_toggle,/users/bulk-toggle,POST,users,edit,-,-,Missing/No,Secured (Role/Scope)
user_delete,/users/delete/<int:user_id>,POST,users,delete,-,-,Missing/No,Secured (Role/Scope)
user_edit,/users/edit/<int:user_id>,POST,users,edit,-,-,Missing/No,Secured (Role/Scope)
users_export_csv,/users/export-csv,GET,users,view,-,-,N/A (GET),Secured (Role/Scope)
users_import_csv,/users/import-csv,POST,users,add,-,-,Missing/No,Secured (Role/Scope)
user_revoke_session,/users/revoke-session/<int:user_id>,POST,users,edit,-,-,Missing/No,Secured (Role/Scope)
user_toggle,/users/toggle/<int:user_id>,POST,users,edit,-,-,Missing/No,Secured (Role/Scope)
